In archive gamma, Unit-0000 must take route north loop, has quota 10, uses permission read, opens window 2, and if rain occurs then the required action is delay. Query answer: Unit-0000 route=north loop; quota=10; permission=read; window=2; cause=rain; action=delay.
In archive gamma, Unit-0056 must take route east ridge, has quota 82, uses permission survey, opens window 12, and if heat occurs then the required action is anchor. Query answer: Unit-0056 route=east ridge; quota=82; permission=survey; window=12; cause=heat; action=anchor.
In archive gamma, Unit-0057 must take route amber ferry, has quota 89, uses permission signal, opens window 17, and if static occurs then the required action is cooldown. Query answer: Unit-0057 route=amber ferry; quota=89; permission=signal; window=17; cause=static; action=cooldown.
In archive gamma, Unit-0058 must take route delta canal, has quota 16, uses permission dock, opens window 4, and if wind occurs then the required action is inspect. Query answer: Unit-0058 route=delta canal; quota=16; permission=dock; window=4; cause=wind; action=inspect.
In archive gamma, Unit-0059 must take route silver spur, has quota 23, uses permission export, opens window 9, and if fog occurs then the required action is reroute. Query answer: Unit-0059 route=silver spur; quota=23; permission=export; window=9; cause=fog; action=reroute.
In archive gamma, Unit-0060 must take route north loop, has quota 30, uses permission read, opens window 14, and if rain occurs then the required action is delay. Query answer: Unit-0060 route=north loop; quota=30; permission=read; window=14; cause=rain; action=delay.
In archive gamma, Unit-0061 must take route east ridge, has quota 37, uses permission survey, opens window 19, and if heat occurs then the required action is anchor. Query answer: Unit-0061 route=east ridge; quota=37; permission=survey; window=19; cause=heat; action=anchor.
In archive gamma, Unit-0062 must take route amber ferry, has quota 44, uses permission signal, opens window 6, and if static occurs then the required action is cooldown. Query answer: Unit-0062 route=amber ferry; quota=44; permission=signal; window=6; cause=static; action=cooldown.
In archive gamma, Unit-0063 must take route delta canal, has quota 51, uses permission dock, opens window 11, and if wind occurs then the required action is inspect. Query answer: Unit-0063 route=delta canal; quota=51; permission=dock; window=11; cause=wind; action=inspect.
In archive gamma, Unit-0064 must take route silver spur, has quota 58, uses permission export, opens window 16, and if fog occurs then the required action is reroute. Query answer: Unit-0064 route=silver spur; quota=58; permission=export; window=16; cause=fog; action=reroute.
In archive gamma, Unit-0065 must take route north loop, has quota 65, uses permission read, opens window 3, and if rain occurs then the required action is delay. Query answer: Unit-0065 route=north loop; quota=65; permission=read; window=3; cause=rain; action=delay.
In archive gamma, Unit-0066 must take route east ridge, has quota 72, uses permission survey, opens window 8, and if heat occurs then the required action is anchor. Query answer: Unit-0066 route=east ridge; quota=72; permission=survey; window=8; cause=heat; action=anchor.
In archive gamma, Unit-0067 must take route amber ferry, has quota 79, uses permission signal, opens window 13, and if static occurs then the required action is cooldown. Query answer: Unit-0067 route=amber ferry; quota=79; permission=signal; window=13; cause=static; action=cooldown.
In archive gamma, Unit-0068 must take route delta canal, has quota 86, uses permission dock, opens window 18, and if wind occurs then the required action is inspect. Query answer: Unit-0068 route=delta canal; quota=86; permission=dock; window=18; cause=wind; action=inspect.
In archive gamma, Unit-0069 must take route silver spur, has quota 13, uses permission export, opens window 5, and if fog occurs then the required action is reroute. Query answer: Unit-0069 route=silver spur; quota=13; permission=export; window=5; cause=fog; action=reroute.
In archive gamma, Unit-0070 must take route north loop, has quota 20, uses permission read, opens window 10, and if rain occurs then the required action is delay. Query answer: Unit-0070 route=north loop; quota=20; permission=read; window=10; cause=rain; action=delay.
In archive gamma, Unit-0071 must take route east ridge, has quota 27, uses permission survey, opens window 15, and if heat occurs then the required action is anchor. Query answer: Unit-0071 route=east ridge; quota=27; permission=survey; window=15; cause=heat; action=anchor.
In archive gamma, Unit-0072 must take route amber ferry, has quota 34, uses permission signal, opens window 2, and if static occurs then the required action is cooldown. Query answer: Unit-0072 route=amber ferry; quota=34; permission=signal; window=2; cause=static; action=cooldown.
In archive gamma, Unit-0073 must take route delta canal, has quota 41, uses permission dock, opens window 7, and if wind occurs then the required action is inspect. Query answer: Unit-0073 route=delta canal; quota=41; permission=dock; window=7; cause=wind; action=inspect.
In archive gamma, Unit-0074 must take route silver spur, has quota 48, uses permission export, opens window 12, and if fog occurs then the required action is reroute. Query answer: Unit-0074 route=silver spur; quota=48; permission=export; window=12; cause=fog; action=reroute.
In archive gamma, Unit-0075 must take route north loop, has quota 55, uses permission read, opens window 17, and if rain occurs then the required action is delay. Query answer: Unit-0075 route=north loop; quota=55; permission=read; window=17; cause=rain; action=delay.
In archive gamma, Unit-0076 must take route east ridge, has quota 62, uses permission survey, opens window 4, and if heat occurs then the required action is anchor. Query answer: Unit-0076 route=east ridge; quota=62; permission=survey; window=4; cause=heat; action=anchor.
In archive gamma, Unit-0077 must take route amber ferry, has quota 69, uses permission signal, opens window 9, and if static occurs then the required action is cooldown. Query answer: Unit-0077 route=amber ferry; quota=69; permission=signal; window=9; cause=static; action=cooldown.
In archive gamma, Unit-0078 must take route delta canal, has quota 76, uses permission dock, opens window 14, and if wind occurs then the required action is inspect. Query answer: Unit-0078 route=delta canal; quota=76; permission=dock; window=14; cause=wind; action=inspect.
In archive gamma, Unit-0079 must take route silver spur, has quota 83, uses permission export, opens window 19, and if fog occurs then the required action is reroute. Query answer: Unit-0079 route=silver spur; quota=83; permission=export; window=19; cause=fog; action=reroute.
In archive gamma, Unit-0080 must take route north loop, has quota 10, uses permission read, opens window 6, and if rain occurs then the required action is delay. Query answer: Unit-0080 route=north loop; quota=10; permission=read; window=6; cause=rain; action=delay.
In archive gamma, Unit-0081 must take route east ridge, has quota 17, uses permission survey, opens window 11, and if heat occurs then the required action is anchor. Query answer: Unit-0081 route=east ridge; quota=17; permission=survey; window=11; cause=heat; action=anchor.
In archive gamma, Unit-0082 must take route amber ferry, has quota 24, uses permission signal, opens window 16, and if static occurs then the required action is cooldown. Query answer: Unit-0082 route=amber ferry; quota=24; permission=signal; window=16; cause=static; action=cooldown.
In archive gamma, Unit-0083 must take route delta canal, has quota 31, uses permission dock, opens window 3, and if wind occurs then the required action is inspect. Query answer: Unit-0083 route=delta canal; quota=31; permission=dock; window=3; cause=wind; action=inspect.
In archive gamma, Unit-0084 must take route silver spur, has quota 38, uses permission export, opens window 8, and if fog occurs then the required action is reroute. Query answer: Unit-0084 route=silver spur; quota=38; permission=export; window=8; cause=fog; action=reroute.
In archive gamma, Unit-0085 must take route north loop, has quota 45, uses permission read, opens window 13, and if rain occurs then the required action is delay. Query answer: Unit-0085 route=north loop; quota=45; permission=read; window=13; cause=rain; action=delay.
In archive gamma, Unit-0086 must take route east ridge, has quota 52, uses permission survey, opens window 18, and if heat occurs then the required action is anchor. Query answer: Unit-0086 route=east ridge; quota=52; permission=survey; window=18; cause=heat; action=anchor.
In archive gamma, Unit-0087 must take route amber ferry, has quota 59, uses permission signal, opens window 5, and if static occurs then the required action is cooldown. Query answer: Unit-0087 route=amber ferry; quota=59; permission=signal; window=5; cause=static; action=cooldown.
In archive gamma, Unit-0088 must take route delta canal, has quota 66, uses permission dock, opens window 10, and if wind occurs then the required action is inspect. Query answer: Unit-0088 route=delta canal; quota=66; permission=dock; window=10; cause=wind; action=inspect.
In archive gamma, Unit-0089 must take route silver spur, has quota 73, uses permission export, opens window 15, and if fog occurs then the required action is reroute. Query answer: Unit-0089 route=silver spur; quota=73; permission=export; window=15; cause=fog; action=reroute.
In archive gamma, Unit-0090 must take route north loop, has quota 80, uses permission read, opens window 2, and if rain occurs then the required action is delay. Query answer: Unit-0090 route=north loop; quota=80; permission=read; window=2; cause=rain; action=delay.
In archive gamma, Unit-0091 must take route east ridge, has quota 87, uses permission survey, opens window 7, and if heat occurs then the required action is anchor. Query answer: Unit-0091 route=east ridge; quota=87; permission=survey; window=7; cause=heat; action=anchor.
In archive gamma, Unit-0092 must take route amber ferry, has quota 14, uses permission signal, opens window 12, and if static occurs then the required action is cooldown. Query answer: Unit-0092 route=amber ferry; quota=14; permission=signal; window=12; cause=static; action=cooldown.
In archive gamma, Unit-0093 must take route delta canal, has quota 21, uses permission dock, opens window 17, and if wind occurs then the required action is inspect. Query answer: Unit-0093 route=delta canal; quota=21; permission=dock; window=17; cause=wind; action=inspect.
In archive gamma, Unit-0094 must take route silver spur, has quota 28, uses permission export, opens window 4, and if fog occurs then the required action is reroute. Query answer: Unit-0094 route=silver spur; quota=28; permission=export; window=4; cause=fog; action=reroute.
In archive gamma, Unit-0095 must take route north loop, has quota 35, uses permission read, opens window 9, and if rain occurs then the required action is delay. Query answer: Unit-0095 route=north loop; quota=35; permission=read; window=9; cause=rain; action=delay.
In archive gamma, Unit-0096 must take route east ridge, has quota 42, uses permission survey, opens window 14, and if heat occurs then the required action is anchor. Query answer: Unit-0096 route=east ridge; quota=42; permission=survey; window=14; cause=heat; action=anchor.
In archive gamma, Unit-0097 must take route amber ferry, has quota 49, uses permission signal, opens window 19, and if static occurs then the required action is cooldown. Query answer: Unit-0097 route=amber ferry; quota=49; permission=signal; window=19; cause=static; action=cooldown.
In archive gamma, Unit-0098 must take route delta canal, has quota 56, uses permission dock, opens window 6, and if wind occurs then the required action is inspect. Query answer: Unit-0098 route=delta canal; quota=56; permission=dock; window=6; cause=wind; action=inspect.
In archive gamma, Unit-0099 must take route silver spur, has quota 63, uses permission export, opens window 11, and if fog occurs then the required action is reroute. Query answer: Unit-0099 route=silver spur; quota=63; permission=export; window=11; cause=fog; action=reroute.
In archive gamma, Unit-0100 must take route north loop, has quota 70, uses permission read, opens window 16, and if rain occurs then the required action is delay. Query answer: Unit-0100 route=north loop; quota=70; permission=read; window=16; cause=rain; action=delay.
In archive gamma, Unit-0101 must take route east ridge, has quota 77, uses permission survey, opens window 3, and if heat occurs then the required action is anchor. Query answer: Unit-0101 route=east ridge; quota=77; permission=survey; window=3; cause=heat; action=anchor.
In archive gamma, Unit-0102 must take route amber ferry, has quota 84, uses permission signal, opens window 8, and if static occurs then the required action is cooldown. Query answer: Unit-0102 route=amber ferry; quota=84; permission=signal; window=8; cause=static; action=cooldown.
In archive gamma, Unit-0103 must take route delta canal, has quota 11, uses permission dock, opens window 13, and if wind occurs then the required action is inspect. Query answer: Unit-0103 route=delta canal; quota=11; permission=dock; window=13; cause=wind; action=inspect.
In archive gamma, Unit-0104 must take route silver spur, has quota 18, uses permission export, opens window 18, and if fog occurs then the required action is reroute. Query answer: Unit-0104 route=silver spur; quota=18; permission=export; window=18; cause=fog; action=reroute.
In archive gamma, Unit-0105 must take route north loop, has quota 25, uses permission read, opens window 5, and if rain occurs then the required action is delay. Query answer: Unit-0105 route=north loop; quota=25; permission=read; window=5; cause=rain; action=delay.
In archive gamma, Unit-0106 must take route east ridge, has quota 32, uses permission survey, opens window 10, and if heat occurs then the required action is anchor. Query answer: Unit-0106 route=east ridge; quota=32; permission=survey; window=10; cause=heat; action=anchor.
In archive gamma, Unit-0107 must take route amber ferry, has quota 39, uses permission signal, opens window 15, and if static occurs then the required action is cooldown. Query answer: Unit-0107 route=amber ferry; quota=39; permission=signal; window=15; cause=static; action=cooldown.
In archive gamma, Unit-0108 must take route delta canal, has quota 46, uses permission dock, opens window 2, and if wind occurs then the required action is inspect. Query answer: Unit-0108 route=delta canal; quota=46; permission=dock; window=2; cause=wind; action=inspect.
In archive gamma, Unit-0109 must take route silver spur, has quota 53, uses permission export, opens window 7, and if fog occurs then the required action is reroute. Query answer: Unit-0109 route=silver spur; quota=53; permission=export; window=7; cause=fog; action=reroute.
In archive gamma, Unit-0110 must take route north loop, has quota 60, uses permission read, opens window 12, and if rain occurs then the required action is delay. Query answer: Unit-0110 route=north loop; quota=60; permission=read; window=12; cause=rain; action=delay.
In archive gamma, Unit-0111 must take route east ridge, has quota 67, uses permission survey, opens window 17, and if heat occurs then the required action is anchor. Query answer: Unit-0111 route=east ridge; quota=67; permission=survey; window=17; cause=heat; action=anchor.
In archive gamma, Unit-0112 must take route amber ferry, has quota 74, uses permission signal, opens window 4, and if static occurs then the required action is cooldown. Query answer: Unit-0112 route=amber ferry; quota=74; permission=signal; window=4; cause=static; action=cooldown.
In archive gamma, Unit-0113 must take route delta canal, has quota 81, uses permission dock, opens window 9, and if wind occurs then the required action is inspect. Query answer: Unit-0113 route=delta canal; quota=81; permission=dock; window=9; cause=wind; action=inspect.
In archive gamma, Unit-0114 must take route silver spur, has quota 88, uses permission export, opens window 14, and if fog occurs then the required action is reroute. Query answer: Unit-0114 route=silver spur; quota=88; permission=export; window=14; cause=fog; action=reroute.
In archive gamma, Unit-0115 must take route north loop, has quota 15, uses permission read, opens window 19, and if rain occurs then the required action is delay. Query answer: Unit-0115 route=north loop; quota=15; permission=read; window=19; cause=rain; action=delay.
In archive gamma, Unit-0116 must take route east ridge, has quota 22, uses permission survey, opens window 6, and if heat occurs then the required action is anchor. Query answer: Unit-0116 route=east ridge; quota=22; permission=survey; window=6; cause=heat; action=anchor.
In archive gamma, Unit-0117 must take route amber ferry, has quota 29, uses permission signal, opens window 11, and if static occurs then the required action is cooldown. Query answer: Unit-0117 route=amber ferry; quota=29; permission=signal; window=11; cause=static; action=cooldown.
In archive gamma, Unit-0118 must take route delta canal, has quota 36, uses permission dock, opens window 16, and if wind occurs then the required action is inspect. Query answer: Unit-0118 route=delta canal; quota=36; permission=dock; window=16; cause=wind; action=inspect.
In archive gamma, Unit-0119 must take route silver spur, has quota 43, uses permission export, opens window 3, and if fog occurs then the required action is reroute. Query answer: Unit-0119 route=silver spur; quota=43; permission=export; window=3; cause=fog; action=reroute.
In archive gamma, Unit-0120 must take route north loop, has quota 50, uses permission read, opens window 8, and if rain occurs then the required action is delay. Query answer: Unit-0120 route=north loop; quota=50; permission=read; window=8; cause=rain; action=delay.
In archive gamma, Unit-0121 must take route east ridge, has quota 57, uses permission survey, opens window 13, and if heat occurs then the required action is anchor. Query answer: Unit-0121 route=east ridge; quota=57; permission=survey; window=13; cause=heat; action=anchor.
In archive gamma, Unit-0122 must take route amber ferry, has quota 64, uses permission signal, opens window 18, and if static occurs then the required action is cooldown. Query answer: Unit-0122 route=amber ferry; quota=64; permission=signal; window=18; cause=static; action=cooldown.
In archive gamma, Unit-0123 must take route delta canal, has quota 71, uses permission dock, opens window 5, and if wind occurs then the required action is inspect. Query answer: Unit-0123 route=delta canal; quota=71; permission=dock; window=5; cause=wind; action=inspect.
In archive gamma, Unit-0124 must take route silver spur, has quota 78, uses permission export, opens window 10, and if fog occurs then the required action is reroute. Query answer: Unit-0124 route=silver spur; quota=78; permission=export; window=10; cause=fog; action=reroute.
In archive gamma, Unit-0125 must take route north loop, has quota 85, uses permission read, opens window 15, and if rain occurs then the required action is delay. Query answer: Unit-0125 route=north loop; quota=85; permission=read; window=15; cause=rain; action=delay.
In archive gamma, Unit-0126 must take route east ridge, has quota 12, uses permission survey, opens window 2, and if heat occurs then the required action is anchor. Query answer: Unit-0126 route=east ridge; quota=12; permission=survey; window=2; cause=heat; action=anchor.
In archive gamma, Unit-0127 must take route amber ferry, has quota 19, uses permission signal, opens window 7, and if static occurs then the required action is cooldown. Query answer: Unit-0127 route=amber ferry; quota=19; permission=signal; window=7; cause=static; action=cooldown.
In archive gamma, Unit-0128 must take route delta canal, has quota 26, uses permission dock, opens window 12, and if wind occurs then the required action is inspect. Query answer: Unit-0128 route=delta canal; quota=26; permission=dock; window=12; cause=wind; action=inspect.
In archive gamma, Unit-0129 must take route silver spur, has quota 33, uses permission export, opens window 17, and if fog occurs then the required action is reroute. Query answer: Unit-0129 route=silver spur; quota=33; permission=export; window=17; cause=fog; action=reroute.
In archive gamma, Unit-0130 must take route north loop, has quota 40, uses permission read, opens window 4, and if rain occurs then the required action is delay. Query answer: Unit-0130 route=north loop; quota=40; permission=read; window=4; cause=rain; action=delay.
In archive gamma, Unit-0131 must take route east ridge, has quota 47, uses permission survey, opens window 9, and if heat occurs then the required action is anchor. Query answer: Unit-0131 route=east ridge; quota=47; permission=survey; window=9; cause=heat; action=anchor.
In archive gamma, Unit-0132 must take route amber ferry, has quota 54, uses permission signal, opens window 14, and if static occurs then the required action is cooldown. Query answer: Unit-0132 route=amber ferry; quota=54; permission=signal; window=14; cause=static; action=cooldown.
In archive gamma, Unit-0133 must take route delta canal, has quota 61, uses permission dock, opens window 19, and if wind occurs then the required action is inspect. Query answer: Unit-0133 route=delta canal; quota=61; permission=dock; window=19; cause=wind; action=inspect.
In archive gamma, Unit-0134 must take route silver spur, has quota 68, uses permission export, opens window 6, and if fog occurs then the required action is reroute. Query answer: Unit-0134 route=silver spur; quota=68; permission=export; window=6; cause=fog; action=reroute.
