Related reminder for Entity-0001: Entity-0001 belongs to guild archive. Entity-0001 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0001: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0157: Entity-0157 belongs to guild law. Entity-0157 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0157: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0106: Entity-0106 belongs to guild botany. Entity-0106 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0106: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0053: Entity-0053 belongs to guild law. Entity-0053 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0053: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0045: Entity-0045 belongs to guild law. Entity-0045 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0045: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0191: Entity-0191 belongs to guild trade. Entity-0191 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0191: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0058: Entity-0058 belongs to guild botany. Entity-0058 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0058: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0253: Entity-0253 belongs to guild law. Entity-0253 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0253: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0071: Entity-0071 belongs to guild trade. Entity-0071 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0071: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0148: Entity-0148 belongs to guild mining. Entity-0148 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0148: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0254: Entity-0254 belongs to guild weaving. Entity-0254 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0254: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0131: Entity-0131 belongs to guild navigation. Entity-0131 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0131: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0040: Entity-0040 belongs to guild mechanic. Entity-0040 has color orange, station Helio, role engineer, and object engine because guild mechanic members usually repair engines near Helio. Answer for Entity-0040: color=orange; station=Helio; role=engineer; object=engine.
Related reminder for Entity-0043: Entity-0043 belongs to guild navigation. Entity-0043 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0043: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0057: Entity-0057 belongs to guild archive. Entity-0057 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0057: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0013: Entity-0013 belongs to guild law. Entity-0013 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0013: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0128: Entity-0128 belongs to guild mechanic. Entity-0128 has color orange, station Helio, role engineer, and object engine because guild mechanic members usually repair engines near Helio. Answer for Entity-0128: color=orange; station=Helio; role=engineer; object=engine.
Related reminder for Entity-0178: Entity-0178 belongs to guild botany. Entity-0178 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0178: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0030: Entity-0030 belongs to guild weaving. Entity-0030 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0030: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0046: Entity-0046 belongs to guild weaving. Entity-0046 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0046: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0226: Entity-0226 belongs to guild botany. Entity-0226 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0226: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0183: Entity-0183 belongs to guild trade. Entity-0183 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0183: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0067: Entity-0067 belongs to guild navigation. Entity-0067 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0067: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0243: Entity-0243 belongs to guild navigation. Entity-0243 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0243: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0044: Entity-0044 belongs to guild mining. Entity-0044 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0044: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0006: Entity-0006 belongs to guild weaving. Entity-0006 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0006: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0192: Entity-0192 belongs to guild mechanic. Entity-0192 has color orange, station Helio, role engineer, and object engine because guild mechanic members usually repair engines near Helio. Answer for Entity-0192: color=orange; station=Helio; role=engineer; object=engine.
Related reminder for Entity-0172: Entity-0172 belongs to guild mining. Entity-0172 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0172: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0029: Entity-0029 belongs to guild law. Entity-0029 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0029: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0032: Entity-0032 belongs to guild mechanic. Entity-0032 has color orange, station Helio, role engineer, and object engine because guild mechanic members usually repair engines near Helio. Answer for Entity-0032: color=orange; station=Helio; role=engineer; object=engine.
Related reminder for Entity-0210: Entity-0210 belongs to guild botany. Entity-0210 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0210: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0082: Entity-0082 belongs to guild botany. Entity-0082 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0082: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0170: Entity-0170 belongs to guild botany. Entity-0170 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0170: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0142: Entity-0142 belongs to guild weaving. Entity-0142 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0142: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0019: Entity-0019 belongs to guild navigation. Entity-0019 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0019: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0231: Entity-0231 belongs to guild trade. Entity-0231 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0231: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0127: Entity-0127 belongs to guild trade. Entity-0127 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0127: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0161: Entity-0161 belongs to guild archive. Entity-0161 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0161: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0146: Entity-0146 belongs to guild botany. Entity-0146 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0146: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0168: Entity-0168 belongs to guild mechanic. Entity-0168 has color orange, station Helio, role engineer, and object engine because guild mechanic members usually repair engines near Helio. Answer for Entity-0168: color=orange; station=Helio; role=engineer; object=engine.
Related reminder for Entity-0195: Entity-0195 belongs to guild navigation. Entity-0195 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0195: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0105: Entity-0105 belongs to guild archive. Entity-0105 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0105: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0069: Entity-0069 belongs to guild law. Entity-0069 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0069: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0249: Entity-0249 belongs to guild archive. Entity-0249 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0249: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0246: Entity-0246 belongs to guild weaving. Entity-0246 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0246: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0026: Entity-0026 belongs to guild botany. Entity-0026 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0026: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0151: Entity-0151 belongs to guild trade. Entity-0151 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0151: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0215: Entity-0215 belongs to guild trade. Entity-0215 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0215: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0190: Entity-0190 belongs to guild weaving. Entity-0190 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0190: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0092: Entity-0092 belongs to guild mining. Entity-0092 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0092: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0245: Entity-0245 belongs to guild law. Entity-0245 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0245: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0086: Entity-0086 belongs to guild weaving. Entity-0086 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0086: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0004: Entity-0004 belongs to guild mining. Entity-0004 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0004: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0112: Entity-0112 belongs to guild mechanic. Entity-0112 has color orange, station Helio, role engineer, and object engine because guild mechanic members usually repair engines near Helio. Answer for Entity-0112: color=orange; station=Helio; role=engineer; object=engine.
Related reminder for Entity-0109: Entity-0109 belongs to guild law. Entity-0109 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0109: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0011: Entity-0011 belongs to guild navigation. Entity-0011 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0011: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0050: Entity-0050 belongs to guild botany. Entity-0050 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0050: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0099: Entity-0099 belongs to guild navigation. Entity-0099 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0099: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0096: Entity-0096 belongs to guild mechanic. Entity-0096 has color orange, station Helio, role engineer, and object engine because guild mechanic members usually repair engines near Helio. Answer for Entity-0096: color=orange; station=Helio; role=engineer; object=engine.
Related reminder for Entity-0176: Entity-0176 belongs to guild mechanic. Entity-0176 has color orange, station Helio, role engineer, and object engine because guild mechanic members usually repair engines near Helio. Answer for Entity-0176: color=orange; station=Helio; role=engineer; object=engine.
Related reminder for Entity-0117: Entity-0117 belongs to guild law. Entity-0117 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0117: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0095: Entity-0095 belongs to guild trade. Entity-0095 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0095: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0244: Entity-0244 belongs to guild mining. Entity-0244 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0244: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0198: Entity-0198 belongs to guild weaving. Entity-0198 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0198: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0177: Entity-0177 belongs to guild archive. Entity-0177 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0177: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0087: Entity-0087 belongs to guild trade. Entity-0087 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0087: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0169: Entity-0169 belongs to guild archive. Entity-0169 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0169: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0068: Entity-0068 belongs to guild mining. Entity-0068 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0068: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0153: Entity-0153 belongs to guild archive. Entity-0153 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0153: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0229: Entity-0229 belongs to guild law. Entity-0229 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0229: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0005: Entity-0005 belongs to guild law. Entity-0005 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0005: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0110: Entity-0110 belongs to guild weaving. Entity-0110 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0110: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0089: Entity-0089 belongs to guild archive. Entity-0089 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0089: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0218: Entity-0218 belongs to guild botany. Entity-0218 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0218: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0137: Entity-0137 belongs to guild archive. Entity-0137 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0137: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0012: Entity-0012 belongs to guild mining. Entity-0012 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0012: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0007: Entity-0007 belongs to guild trade. Entity-0007 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0007: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0104: Entity-0104 belongs to guild mechanic. Entity-0104 has color orange, station Helio, role engineer, and object engine because guild mechanic members usually repair engines near Helio. Answer for Entity-0104: color=orange; station=Helio; role=engineer; object=engine.
Related reminder for Entity-0054: Entity-0054 belongs to guild weaving. Entity-0054 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0054: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0119: Entity-0119 belongs to guild trade. Entity-0119 has color teal, station Prax, role merchant, and object scale because guild trade members usually balance scales near Prax. Answer for Entity-0119: color=teal; station=Prax; role=merchant; object=scale.
Related reminder for Entity-0021: Entity-0021 belongs to guild law. Entity-0021 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0021: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0101: Entity-0101 belongs to guild law. Entity-0101 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0101: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0155: Entity-0155 belongs to guild navigation. Entity-0155 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0155: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0028: Entity-0028 belongs to guild mining. Entity-0028 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0028: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0211: Entity-0211 belongs to guild navigation. Entity-0211 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0211: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0123: Entity-0123 belongs to guild navigation. Entity-0123 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0123: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0034: Entity-0034 belongs to guild botany. Entity-0034 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0034: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0093: Entity-0093 belongs to guild law. Entity-0093 has color cyan, station Junra, role judge, and object gavel because guild law members usually use gavels in Junra courts. Answer for Entity-0093: color=cyan; station=Junra; role=judge; object=gavel.
Related reminder for Entity-0002: Entity-0002 belongs to guild botany. Entity-0002 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0002: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0166: Entity-0166 belongs to guild weaving. Entity-0166 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0166: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0230: Entity-0230 belongs to guild weaving. Entity-0230 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0230: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0108: Entity-0108 belongs to guild mining. Entity-0108 has color amber, station Cinder, role miner, and object lantern because guild mining members usually carry lanterns below Cinder. Answer for Entity-0108: color=amber; station=Cinder; role=miner; object=lantern.
Related reminder for Entity-0042: Entity-0042 belongs to guild botany. Entity-0042 has color green, station Moss, role botanist, and object orchid because guild botany members usually grow orchids around Moss. Answer for Entity-0042: color=green; station=Moss; role=botanist; object=orchid.
Related reminder for Entity-0209: Entity-0209 belongs to guild archive. Entity-0209 has color violet, station Kestrel, role archivist, and object ledger because guild archive members usually catalog ledgers at Kestrel. Answer for Entity-0209: color=violet; station=Kestrel; role=archivist; object=ledger.
Related reminder for Entity-0075: Entity-0075 belongs to guild navigation. Entity-0075 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0075: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0187: Entity-0187 belongs to guild navigation. Entity-0187 has color blue, station Aster, role pilot, and object compass because guild navigation members usually chart compass routes at Aster. Answer for Entity-0187: color=blue; station=Aster; role=pilot; object=compass.
Related reminder for Entity-0014: Entity-0014 belongs to guild weaving. Entity-0014 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0014: color=ivory; station=Nadir; role=weaver; object=loom.
Related reminder for Entity-0078: Entity-0078 belongs to guild weaving. Entity-0078 has color ivory, station Nadir, role weaver, and object loom because guild weaving members usually operate looms at Nadir. Answer for Entity-0078: color=ivory; station=Nadir; role=weaver; object=loom.
