In archive delta, Unit-0000 must take route violet ferry, has quota 12, uses permission mine, opens window 4, and if clear sky occurs then the required action is skip. Query answer: Unit-0000 route=violet ferry; quota=12; permission=mine; window=4; cause=clear sky; action=skip.
In archive delta, Unit-0018 must take route south loop, has quota 58, uses permission import, opens window 4, and if silence occurs then the required action is depart. Query answer: Unit-0018 route=south loop; quota=58; permission=import; window=4; cause=silence; action=depart.
In archive delta, Unit-0019 must take route west ridge, has quota 65, uses permission write, opens window 9, and if still air occurs then the required action is overheat. Query answer: Unit-0019 route=west ridge; quota=65; permission=write; window=9; cause=still air; action=overheat.
In archive delta, Unit-0020 must take route violet ferry, has quota 72, uses permission mine, opens window 14, and if clear sky occurs then the required action is skip. Query answer: Unit-0020 route=violet ferry; quota=72; permission=mine; window=14; cause=clear sky; action=skip.
In archive delta, Unit-0021 must take route omega canal, has quota 79, uses permission jam, opens window 19, and if drought occurs then the required action is release. Query answer: Unit-0021 route=omega canal; quota=79; permission=jam; window=19; cause=drought; action=release.
In archive delta, Unit-0022 must take route black spur, has quota 86, uses permission launch, opens window 6, and if frost occurs then the required action is advance. Query answer: Unit-0022 route=black spur; quota=86; permission=launch; window=6; cause=frost; action=advance.
In archive delta, Unit-0023 must take route south loop, has quota 13, uses permission import, opens window 11, and if silence occurs then the required action is depart. Query answer: Unit-0023 route=south loop; quota=13; permission=import; window=11; cause=silence; action=depart.
In archive delta, Unit-0024 must take route west ridge, has quota 20, uses permission write, opens window 16, and if still air occurs then the required action is overheat. Query answer: Unit-0024 route=west ridge; quota=20; permission=write; window=16; cause=still air; action=overheat.
In archive delta, Unit-0025 must take route violet ferry, has quota 27, uses permission mine, opens window 3, and if clear sky occurs then the required action is skip. Query answer: Unit-0025 route=violet ferry; quota=27; permission=mine; window=3; cause=clear sky; action=skip.
In archive delta, Unit-0026 must take route omega canal, has quota 34, uses permission jam, opens window 8, and if drought occurs then the required action is release. Query answer: Unit-0026 route=omega canal; quota=34; permission=jam; window=8; cause=drought; action=release.
In archive delta, Unit-0027 must take route black spur, has quota 41, uses permission launch, opens window 13, and if frost occurs then the required action is advance. Query answer: Unit-0027 route=black spur; quota=41; permission=launch; window=13; cause=frost; action=advance.
In archive delta, Unit-0028 must take route south loop, has quota 48, uses permission import, opens window 18, and if silence occurs then the required action is depart. Query answer: Unit-0028 route=south loop; quota=48; permission=import; window=18; cause=silence; action=depart.
In archive delta, Unit-0029 must take route west ridge, has quota 55, uses permission write, opens window 5, and if still air occurs then the required action is overheat. Query answer: Unit-0029 route=west ridge; quota=55; permission=write; window=5; cause=still air; action=overheat.
In archive delta, Unit-0030 must take route violet ferry, has quota 62, uses permission mine, opens window 10, and if clear sky occurs then the required action is skip. Query answer: Unit-0030 route=violet ferry; quota=62; permission=mine; window=10; cause=clear sky; action=skip.
In archive delta, Unit-0031 must take route omega canal, has quota 69, uses permission jam, opens window 15, and if drought occurs then the required action is release. Query answer: Unit-0031 route=omega canal; quota=69; permission=jam; window=15; cause=drought; action=release.
In archive delta, Unit-0032 must take route black spur, has quota 76, uses permission launch, opens window 2, and if frost occurs then the required action is advance. Query answer: Unit-0032 route=black spur; quota=76; permission=launch; window=2; cause=frost; action=advance.
In archive delta, Unit-0033 must take route south loop, has quota 83, uses permission import, opens window 7, and if silence occurs then the required action is depart. Query answer: Unit-0033 route=south loop; quota=83; permission=import; window=7; cause=silence; action=depart.
In archive delta, Unit-0034 must take route west ridge, has quota 10, uses permission write, opens window 12, and if still air occurs then the required action is overheat. Query answer: Unit-0034 route=west ridge; quota=10; permission=write; window=12; cause=still air; action=overheat.
In archive delta, Unit-0035 must take route violet ferry, has quota 17, uses permission mine, opens window 17, and if clear sky occurs then the required action is skip. Query answer: Unit-0035 route=violet ferry; quota=17; permission=mine; window=17; cause=clear sky; action=skip.
In archive delta, Unit-0036 must take route omega canal, has quota 24, uses permission jam, opens window 4, and if drought occurs then the required action is release. Query answer: Unit-0036 route=omega canal; quota=24; permission=jam; window=4; cause=drought; action=release.
In archive delta, Unit-0037 must take route black spur, has quota 31, uses permission launch, opens window 9, and if frost occurs then the required action is advance. Query answer: Unit-0037 route=black spur; quota=31; permission=launch; window=9; cause=frost; action=advance.
In archive delta, Unit-0038 must take route south loop, has quota 38, uses permission import, opens window 14, and if silence occurs then the required action is depart. Query answer: Unit-0038 route=south loop; quota=38; permission=import; window=14; cause=silence; action=depart.
In archive delta, Unit-0039 must take route west ridge, has quota 45, uses permission write, opens window 19, and if still air occurs then the required action is overheat. Query answer: Unit-0039 route=west ridge; quota=45; permission=write; window=19; cause=still air; action=overheat.
In archive delta, Unit-0040 must take route violet ferry, has quota 52, uses permission mine, opens window 6, and if clear sky occurs then the required action is skip. Query answer: Unit-0040 route=violet ferry; quota=52; permission=mine; window=6; cause=clear sky; action=skip.
In archive delta, Unit-0041 must take route omega canal, has quota 59, uses permission jam, opens window 11, and if drought occurs then the required action is release. Query answer: Unit-0041 route=omega canal; quota=59; permission=jam; window=11; cause=drought; action=release.
In archive delta, Unit-0042 must take route black spur, has quota 66, uses permission launch, opens window 16, and if frost occurs then the required action is advance. Query answer: Unit-0042 route=black spur; quota=66; permission=launch; window=16; cause=frost; action=advance.
In archive delta, Unit-0043 must take route south loop, has quota 73, uses permission import, opens window 3, and if silence occurs then the required action is depart. Query answer: Unit-0043 route=south loop; quota=73; permission=import; window=3; cause=silence; action=depart.
In archive delta, Unit-0044 must take route west ridge, has quota 80, uses permission write, opens window 8, and if still air occurs then the required action is overheat. Query answer: Unit-0044 route=west ridge; quota=80; permission=write; window=8; cause=still air; action=overheat.
In archive delta, Unit-0045 must take route violet ferry, has quota 87, uses permission mine, opens window 13, and if clear sky occurs then the required action is skip. Query answer: Unit-0045 route=violet ferry; quota=87; permission=mine; window=13; cause=clear sky; action=skip.
In archive delta, Unit-0046 must take route omega canal, has quota 14, uses permission jam, opens window 18, and if drought occurs then the required action is release. Query answer: Unit-0046 route=omega canal; quota=14; permission=jam; window=18; cause=drought; action=release.
In archive delta, Unit-0047 must take route black spur, has quota 21, uses permission launch, opens window 5, and if frost occurs then the required action is advance. Query answer: Unit-0047 route=black spur; quota=21; permission=launch; window=5; cause=frost; action=advance.
In archive delta, Unit-0048 must take route south loop, has quota 28, uses permission import, opens window 10, and if silence occurs then the required action is depart. Query answer: Unit-0048 route=south loop; quota=28; permission=import; window=10; cause=silence; action=depart.
In archive delta, Unit-0049 must take route west ridge, has quota 35, uses permission write, opens window 15, and if still air occurs then the required action is overheat. Query answer: Unit-0049 route=west ridge; quota=35; permission=write; window=15; cause=still air; action=overheat.
In archive delta, Unit-0050 must take route violet ferry, has quota 42, uses permission mine, opens window 2, and if clear sky occurs then the required action is skip. Query answer: Unit-0050 route=violet ferry; quota=42; permission=mine; window=2; cause=clear sky; action=skip.
In archive delta, Unit-0051 must take route omega canal, has quota 49, uses permission jam, opens window 7, and if drought occurs then the required action is release. Query answer: Unit-0051 route=omega canal; quota=49; permission=jam; window=7; cause=drought; action=release.
In archive delta, Unit-0052 must take route black spur, has quota 56, uses permission launch, opens window 12, and if frost occurs then the required action is advance. Query answer: Unit-0052 route=black spur; quota=56; permission=launch; window=12; cause=frost; action=advance.
In archive delta, Unit-0053 must take route south loop, has quota 63, uses permission import, opens window 17, and if silence occurs then the required action is depart. Query answer: Unit-0053 route=south loop; quota=63; permission=import; window=17; cause=silence; action=depart.
In archive delta, Unit-0054 must take route west ridge, has quota 70, uses permission write, opens window 4, and if still air occurs then the required action is overheat. Query answer: Unit-0054 route=west ridge; quota=70; permission=write; window=4; cause=still air; action=overheat.
In archive delta, Unit-0055 must take route violet ferry, has quota 77, uses permission mine, opens window 9, and if clear sky occurs then the required action is skip. Query answer: Unit-0055 route=violet ferry; quota=77; permission=mine; window=9; cause=clear sky; action=skip.
In archive delta, Unit-0056 must take route omega canal, has quota 84, uses permission jam, opens window 14, and if drought occurs then the required action is release. Query answer: Unit-0056 route=omega canal; quota=84; permission=jam; window=14; cause=drought; action=release.
In archive delta, Unit-0057 must take route black spur, has quota 11, uses permission launch, opens window 19, and if frost occurs then the required action is advance. Query answer: Unit-0057 route=black spur; quota=11; permission=launch; window=19; cause=frost; action=advance.
In archive delta, Unit-0058 must take route south loop, has quota 18, uses permission import, opens window 6, and if silence occurs then the required action is depart. Query answer: Unit-0058 route=south loop; quota=18; permission=import; window=6; cause=silence; action=depart.
In archive delta, Unit-0059 must take route west ridge, has quota 25, uses permission write, opens window 11, and if still air occurs then the required action is overheat. Query answer: Unit-0059 route=west ridge; quota=25; permission=write; window=11; cause=still air; action=overheat.
In archive delta, Unit-0060 must take route violet ferry, has quota 32, uses permission mine, opens window 16, and if clear sky occurs then the required action is skip. Query answer: Unit-0060 route=violet ferry; quota=32; permission=mine; window=16; cause=clear sky; action=skip.
In archive delta, Unit-0061 must take route omega canal, has quota 39, uses permission jam, opens window 3, and if drought occurs then the required action is release. Query answer: Unit-0061 route=omega canal; quota=39; permission=jam; window=3; cause=drought; action=release.
In archive delta, Unit-0062 must take route black spur, has quota 46, uses permission launch, opens window 8, and if frost occurs then the required action is advance. Query answer: Unit-0062 route=black spur; quota=46; permission=launch; window=8; cause=frost; action=advance.
In archive delta, Unit-0063 must take route south loop, has quota 53, uses permission import, opens window 13, and if silence occurs then the required action is depart. Query answer: Unit-0063 route=south loop; quota=53; permission=import; window=13; cause=silence; action=depart.
In archive delta, Unit-0064 must take route west ridge, has quota 60, uses permission write, opens window 18, and if still air occurs then the required action is overheat. Query answer: Unit-0064 route=west ridge; quota=60; permission=write; window=18; cause=still air; action=overheat.
In archive delta, Unit-0065 must take route violet ferry, has quota 67, uses permission mine, opens window 5, and if clear sky occurs then the required action is skip. Query answer: Unit-0065 route=violet ferry; quota=67; permission=mine; window=5; cause=clear sky; action=skip.
In archive delta, Unit-0066 must take route omega canal, has quota 74, uses permission jam, opens window 10, and if drought occurs then the required action is release. Query answer: Unit-0066 route=omega canal; quota=74; permission=jam; window=10; cause=drought; action=release.
In archive delta, Unit-0067 must take route black spur, has quota 81, uses permission launch, opens window 15, and if frost occurs then the required action is advance. Query answer: Unit-0067 route=black spur; quota=81; permission=launch; window=15; cause=frost; action=advance.
In archive delta, Unit-0068 must take route south loop, has quota 88, uses permission import, opens window 2, and if silence occurs then the required action is depart. Query answer: Unit-0068 route=south loop; quota=88; permission=import; window=2; cause=silence; action=depart.
In archive delta, Unit-0069 must take route west ridge, has quota 15, uses permission write, opens window 7, and if still air occurs then the required action is overheat. Query answer: Unit-0069 route=west ridge; quota=15; permission=write; window=7; cause=still air; action=overheat.
In archive delta, Unit-0070 must take route violet ferry, has quota 22, uses permission mine, opens window 12, and if clear sky occurs then the required action is skip. Query answer: Unit-0070 route=violet ferry; quota=22; permission=mine; window=12; cause=clear sky; action=skip.
In archive delta, Unit-0071 must take route omega canal, has quota 29, uses permission jam, opens window 17, and if drought occurs then the required action is release. Query answer: Unit-0071 route=omega canal; quota=29; permission=jam; window=17; cause=drought; action=release.
In archive delta, Unit-0072 must take route black spur, has quota 36, uses permission launch, opens window 4, and if frost occurs then the required action is advance. Query answer: Unit-0072 route=black spur; quota=36; permission=launch; window=4; cause=frost; action=advance.
In archive delta, Unit-0073 must take route south loop, has quota 43, uses permission import, opens window 9, and if silence occurs then the required action is depart. Query answer: Unit-0073 route=south loop; quota=43; permission=import; window=9; cause=silence; action=depart.
In archive delta, Unit-0074 must take route west ridge, has quota 50, uses permission write, opens window 14, and if still air occurs then the required action is overheat. Query answer: Unit-0074 route=west ridge; quota=50; permission=write; window=14; cause=still air; action=overheat.
In archive delta, Unit-0075 must take route violet ferry, has quota 57, uses permission mine, opens window 19, and if clear sky occurs then the required action is skip. Query answer: Unit-0075 route=violet ferry; quota=57; permission=mine; window=19; cause=clear sky; action=skip.
In archive delta, Unit-0076 must take route omega canal, has quota 64, uses permission jam, opens window 6, and if drought occurs then the required action is release. Query answer: Unit-0076 route=omega canal; quota=64; permission=jam; window=6; cause=drought; action=release.
In archive delta, Unit-0077 must take route black spur, has quota 71, uses permission launch, opens window 11, and if frost occurs then the required action is advance. Query answer: Unit-0077 route=black spur; quota=71; permission=launch; window=11; cause=frost; action=advance.
In archive delta, Unit-0078 must take route south loop, has quota 78, uses permission import, opens window 16, and if silence occurs then the required action is depart. Query answer: Unit-0078 route=south loop; quota=78; permission=import; window=16; cause=silence; action=depart.
In archive delta, Unit-0079 must take route west ridge, has quota 85, uses permission write, opens window 3, and if still air occurs then the required action is overheat. Query answer: Unit-0079 route=west ridge; quota=85; permission=write; window=3; cause=still air; action=overheat.
In archive delta, Unit-0080 must take route violet ferry, has quota 12, uses permission mine, opens window 8, and if clear sky occurs then the required action is skip. Query answer: Unit-0080 route=violet ferry; quota=12; permission=mine; window=8; cause=clear sky; action=skip.
In archive delta, Unit-0081 must take route omega canal, has quota 19, uses permission jam, opens window 13, and if drought occurs then the required action is release. Query answer: Unit-0081 route=omega canal; quota=19; permission=jam; window=13; cause=drought; action=release.
In archive delta, Unit-0082 must take route black spur, has quota 26, uses permission launch, opens window 18, and if frost occurs then the required action is advance. Query answer: Unit-0082 route=black spur; quota=26; permission=launch; window=18; cause=frost; action=advance.
In archive delta, Unit-0083 must take route south loop, has quota 33, uses permission import, opens window 5, and if silence occurs then the required action is depart. Query answer: Unit-0083 route=south loop; quota=33; permission=import; window=5; cause=silence; action=depart.
In archive delta, Unit-0084 must take route west ridge, has quota 40, uses permission write, opens window 10, and if still air occurs then the required action is overheat. Query answer: Unit-0084 route=west ridge; quota=40; permission=write; window=10; cause=still air; action=overheat.
In archive delta, Unit-0085 must take route violet ferry, has quota 47, uses permission mine, opens window 15, and if clear sky occurs then the required action is skip. Query answer: Unit-0085 route=violet ferry; quota=47; permission=mine; window=15; cause=clear sky; action=skip.
In archive delta, Unit-0086 must take route omega canal, has quota 54, uses permission jam, opens window 2, and if drought occurs then the required action is release. Query answer: Unit-0086 route=omega canal; quota=54; permission=jam; window=2; cause=drought; action=release.
In archive delta, Unit-0087 must take route black spur, has quota 61, uses permission launch, opens window 7, and if frost occurs then the required action is advance. Query answer: Unit-0087 route=black spur; quota=61; permission=launch; window=7; cause=frost; action=advance.
In archive delta, Unit-0088 must take route south loop, has quota 68, uses permission import, opens window 12, and if silence occurs then the required action is depart. Query answer: Unit-0088 route=south loop; quota=68; permission=import; window=12; cause=silence; action=depart.
In archive delta, Unit-0089 must take route west ridge, has quota 75, uses permission write, opens window 17, and if still air occurs then the required action is overheat. Query answer: Unit-0089 route=west ridge; quota=75; permission=write; window=17; cause=still air; action=overheat.
In archive delta, Unit-0090 must take route violet ferry, has quota 82, uses permission mine, opens window 4, and if clear sky occurs then the required action is skip. Query answer: Unit-0090 route=violet ferry; quota=82; permission=mine; window=4; cause=clear sky; action=skip.
In archive delta, Unit-0091 must take route omega canal, has quota 89, uses permission jam, opens window 9, and if drought occurs then the required action is release. Query answer: Unit-0091 route=omega canal; quota=89; permission=jam; window=9; cause=drought; action=release.
In archive delta, Unit-0092 must take route black spur, has quota 16, uses permission launch, opens window 14, and if frost occurs then the required action is advance. Query answer: Unit-0092 route=black spur; quota=16; permission=launch; window=14; cause=frost; action=advance.
In archive delta, Unit-0093 must take route south loop, has quota 23, uses permission import, opens window 19, and if silence occurs then the required action is depart. Query answer: Unit-0093 route=south loop; quota=23; permission=import; window=19; cause=silence; action=depart.
In archive delta, Unit-0094 must take route west ridge, has quota 30, uses permission write, opens window 6, and if still air occurs then the required action is overheat. Query answer: Unit-0094 route=west ridge; quota=30; permission=write; window=6; cause=still air; action=overheat.
In archive delta, Unit-0095 must take route violet ferry, has quota 37, uses permission mine, opens window 11, and if clear sky occurs then the required action is skip. Query answer: Unit-0095 route=violet ferry; quota=37; permission=mine; window=11; cause=clear sky; action=skip.
In archive delta, Unit-0096 must take route omega canal, has quota 44, uses permission jam, opens window 16, and if drought occurs then the required action is release. Query answer: Unit-0096 route=omega canal; quota=44; permission=jam; window=16; cause=drought; action=release.
In archive delta, Unit-0097 must take route black spur, has quota 51, uses permission launch, opens window 3, and if frost occurs then the required action is advance. Query answer: Unit-0097 route=black spur; quota=51; permission=launch; window=3; cause=frost; action=advance.
In archive delta, Unit-0098 must take route south loop, has quota 58, uses permission import, opens window 8, and if silence occurs then the required action is depart. Query answer: Unit-0098 route=south loop; quota=58; permission=import; window=8; cause=silence; action=depart.
In archive delta, Unit-0099 must take route west ridge, has quota 65, uses permission write, opens window 13, and if still air occurs then the required action is overheat. Query answer: Unit-0099 route=west ridge; quota=65; permission=write; window=13; cause=still air; action=overheat.
In archive delta, Unit-0100 must take route violet ferry, has quota 72, uses permission mine, opens window 18, and if clear sky occurs then the required action is skip. Query answer: Unit-0100 route=violet ferry; quota=72; permission=mine; window=18; cause=clear sky; action=skip.
In archive delta, Unit-0101 must take route omega canal, has quota 79, uses permission jam, opens window 5, and if drought occurs then the required action is release. Query answer: Unit-0101 route=omega canal; quota=79; permission=jam; window=5; cause=drought; action=release.
In archive delta, Unit-0102 must take route black spur, has quota 86, uses permission launch, opens window 10, and if frost occurs then the required action is advance. Query answer: Unit-0102 route=black spur; quota=86; permission=launch; window=10; cause=frost; action=advance.
In archive delta, Unit-0103 must take route south loop, has quota 13, uses permission import, opens window 15, and if silence occurs then the required action is depart. Query answer: Unit-0103 route=south loop; quota=13; permission=import; window=15; cause=silence; action=depart.
In archive delta, Unit-0104 must take route west ridge, has quota 20, uses permission write, opens window 2, and if still air occurs then the required action is overheat. Query answer: Unit-0104 route=west ridge; quota=20; permission=write; window=2; cause=still air; action=overheat.
In archive delta, Unit-0105 must take route violet ferry, has quota 27, uses permission mine, opens window 7, and if clear sky occurs then the required action is skip. Query answer: Unit-0105 route=violet ferry; quota=27; permission=mine; window=7; cause=clear sky; action=skip.
In archive delta, Unit-0106 must take route omega canal, has quota 34, uses permission jam, opens window 12, and if drought occurs then the required action is release. Query answer: Unit-0106 route=omega canal; quota=34; permission=jam; window=12; cause=drought; action=release.
In archive delta, Unit-0107 must take route black spur, has quota 41, uses permission launch, opens window 17, and if frost occurs then the required action is advance. Query answer: Unit-0107 route=black spur; quota=41; permission=launch; window=17; cause=frost; action=advance.
In archive delta, Unit-0108 must take route south loop, has quota 48, uses permission import, opens window 4, and if silence occurs then the required action is depart. Query answer: Unit-0108 route=south loop; quota=48; permission=import; window=4; cause=silence; action=depart.
In archive delta, Unit-0109 must take route west ridge, has quota 55, uses permission write, opens window 9, and if still air occurs then the required action is overheat. Query answer: Unit-0109 route=west ridge; quota=55; permission=write; window=9; cause=still air; action=overheat.
In archive delta, Unit-0110 must take route violet ferry, has quota 62, uses permission mine, opens window 14, and if clear sky occurs then the required action is skip. Query answer: Unit-0110 route=violet ferry; quota=62; permission=mine; window=14; cause=clear sky; action=skip.
In archive delta, Unit-0111 must take route omega canal, has quota 69, uses permission jam, opens window 19, and if drought occurs then the required action is release. Query answer: Unit-0111 route=omega canal; quota=69; permission=jam; window=19; cause=drought; action=release.
In archive delta, Unit-0112 must take route black spur, has quota 76, uses permission launch, opens window 6, and if frost occurs then the required action is advance. Query answer: Unit-0112 route=black spur; quota=76; permission=launch; window=6; cause=frost; action=advance.
In archive delta, Unit-0113 must take route south loop, has quota 83, uses permission import, opens window 11, and if silence occurs then the required action is depart. Query answer: Unit-0113 route=south loop; quota=83; permission=import; window=11; cause=silence; action=depart.
In archive delta, Unit-0114 must take route west ridge, has quota 10, uses permission write, opens window 16, and if still air occurs then the required action is overheat. Query answer: Unit-0114 route=west ridge; quota=10; permission=write; window=16; cause=still air; action=overheat.
In archive delta, Unit-0115 must take route violet ferry, has quota 17, uses permission mine, opens window 3, and if clear sky occurs then the required action is skip. Query answer: Unit-0115 route=violet ferry; quota=17; permission=mine; window=3; cause=clear sky; action=skip.
In archive delta, Unit-0116 must take route omega canal, has quota 24, uses permission jam, opens window 8, and if drought occurs then the required action is release. Query answer: Unit-0116 route=omega canal; quota=24; permission=jam; window=8; cause=drought; action=release.
In archive delta, Unit-0117 must take route black spur, has quota 31, uses permission launch, opens window 13, and if frost occurs then the required action is advance. Query answer: Unit-0117 route=black spur; quota=31; permission=launch; window=13; cause=frost; action=advance.
In archive delta, Unit-0118 must take route south loop, has quota 38, uses permission import, opens window 18, and if silence occurs then the required action is depart. Query answer: Unit-0118 route=south loop; quota=38; permission=import; window=18; cause=silence; action=depart.
In archive delta, Unit-0119 must take route west ridge, has quota 45, uses permission write, opens window 5, and if still air occurs then the required action is overheat. Query answer: Unit-0119 route=west ridge; quota=45; permission=write; window=5; cause=still air; action=overheat.
In archive delta, Unit-0120 must take route violet ferry, has quota 52, uses permission mine, opens window 10, and if clear sky occurs then the required action is skip. Query answer: Unit-0120 route=violet ferry; quota=52; permission=mine; window=10; cause=clear sky; action=skip.
In archive delta, Unit-0121 must take route omega canal, has quota 59, uses permission jam, opens window 15, and if drought occurs then the required action is release. Query answer: Unit-0121 route=omega canal; quota=59; permission=jam; window=15; cause=drought; action=release.
In archive delta, Unit-0122 must take route black spur, has quota 66, uses permission launch, opens window 2, and if frost occurs then the required action is advance. Query answer: Unit-0122 route=black spur; quota=66; permission=launch; window=2; cause=frost; action=advance.
In archive delta, Unit-0123 must take route south loop, has quota 73, uses permission import, opens window 7, and if silence occurs then the required action is depart. Query answer: Unit-0123 route=south loop; quota=73; permission=import; window=7; cause=silence; action=depart.
In archive delta, Unit-0124 must take route west ridge, has quota 80, uses permission write, opens window 12, and if still air occurs then the required action is overheat. Query answer: Unit-0124 route=west ridge; quota=80; permission=write; window=12; cause=still air; action=overheat.
In archive delta, Unit-0125 must take route violet ferry, has quota 87, uses permission mine, opens window 17, and if clear sky occurs then the required action is skip. Query answer: Unit-0125 route=violet ferry; quota=87; permission=mine; window=17; cause=clear sky; action=skip.
In archive delta, Unit-0126 must take route omega canal, has quota 14, uses permission jam, opens window 4, and if drought occurs then the required action is release. Query answer: Unit-0126 route=omega canal; quota=14; permission=jam; window=4; cause=drought; action=release.
In archive delta, Unit-0127 must take route black spur, has quota 21, uses permission launch, opens window 9, and if frost occurs then the required action is advance. Query answer: Unit-0127 route=black spur; quota=21; permission=launch; window=9; cause=frost; action=advance.
In archive delta, Unit-0128 must take route south loop, has quota 28, uses permission import, opens window 14, and if silence occurs then the required action is depart. Query answer: Unit-0128 route=south loop; quota=28; permission=import; window=14; cause=silence; action=depart.
In archive delta, Unit-0129 must take route west ridge, has quota 35, uses permission write, opens window 19, and if still air occurs then the required action is overheat. Query answer: Unit-0129 route=west ridge; quota=35; permission=write; window=19; cause=still air; action=overheat.
In archive delta, Unit-0130 must take route violet ferry, has quota 42, uses permission mine, opens window 6, and if clear sky occurs then the required action is skip. Query answer: Unit-0130 route=violet ferry; quota=42; permission=mine; window=6; cause=clear sky; action=skip.
In archive delta, Unit-0131 must take route omega canal, has quota 49, uses permission jam, opens window 11, and if drought occurs then the required action is release. Query answer: Unit-0131 route=omega canal; quota=49; permission=jam; window=11; cause=drought; action=release.
In archive delta, Unit-0132 must take route black spur, has quota 56, uses permission launch, opens window 16, and if frost occurs then the required action is advance. Query answer: Unit-0132 route=black spur; quota=56; permission=launch; window=16; cause=frost; action=advance.
In archive delta, Unit-0133 must take route south loop, has quota 63, uses permission import, opens window 3, and if silence occurs then the required action is depart. Query answer: Unit-0133 route=south loop; quota=63; permission=import; window=3; cause=silence; action=depart.
In archive delta, Unit-0134 must take route west ridge, has quota 70, uses permission write, opens window 8, and if still air occurs then the required action is overheat. Query answer: Unit-0134 route=west ridge; quota=70; permission=write; window=8; cause=still air; action=overheat.
In archive delta, Unit-0135 must take route violet ferry, has quota 77, uses permission mine, opens window 13, and if clear sky occurs then the required action is skip. Query answer: Unit-0135 route=violet ferry; quota=77; permission=mine; window=13; cause=clear sky; action=skip.
In archive delta, Unit-0136 must take route omega canal, has quota 84, uses permission jam, opens window 18, and if drought occurs then the required action is release. Query answer: Unit-0136 route=omega canal; quota=84; permission=jam; window=18; cause=drought; action=release.
In archive delta, Unit-0137 must take route black spur, has quota 11, uses permission launch, opens window 5, and if frost occurs then the required action is advance. Query answer: Unit-0137 route=black spur; quota=11; permission=launch; window=5; cause=frost; action=advance.
